id,name,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,bathrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost,minimum_nights,capacity_type
790825660217762237,Luxuoso Frente Mar -Sauna - Piscina Rooftop - Gym,Copacabana,Casa/Apto Inteiro,4,1.0,1.0,1087.0,Médio-Alto,-22.97326034650867,-43.18622241163939,4.88,69,t,2,Médio (3-4)
775353049580471244,2BDRs 350m from Copacabana beach | TA 28/401,Copacabana,Casa/Apto Inteiro,4,2.0,2.5,294.0,Baixo,-22.97026,-43.18714,4.71,52,f,1,Médio (3-4)
15926249,FAB ! Copacaba/2bedroom+sofabed/X6/Secure Building,Copacabana,Casa/Apto Inteiro,6,2.0,1.0,421.0,Médio-Baixo,-22.97789,-43.19003,4.97,33,f,3,Grande (5+)
14118630,Peace and practicality in Botafogo,Botafogo,Casa/Apto Inteiro,6,2.0,2.0,900.0,Médio,-22.95569686028182,-43.194562954349,5.0,1,f,2,Grande (5+)
45546647,Apartamento moderno no coração de copacabana,Copacabana,Casa/Apto Inteiro,6,3.0,2.0,453.0,Médio-Baixo,-22.97169,-43.18931,5.0,38,t,2,Grande (5+)
1281470290244803890,casa completa,Marechal Hermes,Casa/Apto Inteiro,4,1.0,1.0,135.0,Muito Baixo,-22.86303030175996,-43.37548490613699,4.98,49,t,1,Médio (3-4)
7308325,Copacabana Clean perto da praia !,Copacabana,Casa/Apto Inteiro,2,1.0,1.0,233.0,Baixo,-22.9642698,-43.1753102,4.68,31,t,6,Pequeno (1-2)
1365172220493936338,Apartamento no Leblon  ~1 dormitório  ~ tudo novo,Leblon,Casa/Apto Inteiro,4,1.0,1.0,373.0,Médio-Baixo,-22.9821628,-43.2211888,5.0,3,f,3,Médio (3-4)
1242288373940907606,Meu AP na praia do Recreio,Recreio dos Bandeirantes,Casa/Apto Inteiro,3,1.0,1.0,318.0,Médio-Baixo,-23.031185065794386,-43.48003876683601,4.67,12,t,2,Médio (3-4)
809278761486719438,Casa,Barra da Tijuca,Casa/Apto Inteiro,8,4.0,6.0,14143.0,Muito Alto,-22.9981279,-43.422425,0.0,0,f,2,Grande (5+)
612366565856677032,Quarto em amplo apartamento em Copacabana,Copacabana,Quarto Privado,2,1.0,1.0,,,-22.96546,-43.1809,4.88,8,f,3,Pequeno (1-2)
797271674179587805,Flat 2quartos piscina perto da Praia de Copacabana,Copacabana,Casa/Apto Inteiro,6,2.0,2.0,519.0,Médio-Baixo,-22.960787,-43.17489,5.0,1,t,3,Grande (5+)
46008310,Santorini,Santa Teresa,Casa/Apto Inteiro,2,1.0,1.0,110.0,Muito Baixo,-22.92767,-43.19158,4.53,93,f,2,Pequeno (1-2)
700514992474970162,Quarto em apartamento aconchegante,Copacabana,Quarto Privado,2,1.0,1.0,,,-22.96362,-43.18915,5.0,10,f,2,Pequeno (1-2)
541762628136618142,Apartamento aconchegante perto da praia,Recreio dos Bandeirantes,Casa/Apto Inteiro,5,2.0,1.0,241.0,Baixo,-23.017435,-43.481747,4.79,100,f,1,Grande (5+)
11991449,Quarto individual,Botafogo,Quarto Privado,1,1.0,1.0,,,-22.9423742,-43.1824983,0.0,0,f,3,Pequeno (1-2)
33136569,Private Room 5min to Flamengo Beach and Park,Flamengo,Quarto Privado,2,1.0,1.5,163.0,Baixo,-22.932090135015045,-43.17585421635702,5.0,1,f,2,Pequeno (1-2)
28966397,Luxury 3 suites Penthouse Ipanema 2 Blocks beach,Ipanema,Casa/Apto Inteiro,6,3.0,3.5,3080.0,Alto,-22.98521,-43.21412,0.0,0,f,4,Grande (5+)
